type,entry_time,entry_price,close_time,close_price,support,resistance
short,2021-02-23 10:50:00,49119.18,2021-02-23 14:25:00,46565.18,49111.0,
short,2021-02-23 15:05:00,48098.07,2021-02-23 17:10:00,45243.89,47680.13,
short,2021-02-23 18:55:00,48680.01,2021-02-23 20:15:00,46252.64,48700.0,
short,2021-02-26 00:15:00,49757.42,2021-02-26 05:20:00,47100.0,49615.0,
short,2021-02-26 05:50:00,47022.23,2021-02-26 13:05:00,44623.85,47000.48,
short,2021-02-28 00:15:00,47164.98,2021-02-28 09:10:00,44673.14,47150.59,
short,2021-03-04 00:15:00,51160.05,2021-03-04 14:50:00,48692.1,51300.0,
short,2021-03-15 00:15:00,60224.63,2021-03-15 14:50:00,55718.66,59999.58,
short,2021-03-16 01:25:00,56570.36,2021-03-16 06:30:00,53548.52,56384.93,
short,2021-03-21 00:15:00,59250.0,2021-03-21 15:10:00,55978.75,59164.39,
short,2021-03-23 00:15:00,56597.93,2021-03-23 10:55:00,53349.57,56366.0,
short,2021-03-25 00:15:00,55593.6,2021-03-25 03:45:00,52105.0,55520.0,
short,2021-04-16 01:25:00,63363.29,2021-04-16 16:45:00,60122.01,63295.27,
short,2021-04-18 00:15:00,60367.18,2021-04-18 08:50:00,56177.27,60368.01,
short,2021-04-18 13:00:00,56322.79,2021-04-18 17:20:00,53248.13,56096.49,
short,2021-04-23 00:15:00,53436.17,2021-04-23 07:15:00,50195.03,53107.01,
short,2021-04-23 07:35:00,50671.91,2021-04-23 13:00:00,48152.56,50848.71,
short,2021-04-26 00:45:00,49662.84,2021-04-26 03:10:00,47135.68,49656.35,
short,2021-04-29 01:40:00,55470.86,2021-04-29 23:30:00,52506.55,55298.52,
short,2021-05-04 00:15:00,57850.89,2021-05-04 20:05:00,54819.36,57791.3,
short,2021-05-12 06:15:00,57114.43,2021-05-12 23:45:00,54101.01,56997.54,
short,2021-05-13 00:15:00,54275.46,2021-05-13 05:05:00,50891.88,53576.3,
short,2021-05-13 05:25:00,49631.32,2021-05-13 05:30:00,47148.56,50291.37,
short,2021-05-13 06:10:00,49896.61,2021-05-13 23:00:00,47057.76,49665.61,
short,2021-05-15 00:15:00,50473.03,2021-05-15 22:00:00,47805.01,50334.89,
short,2021-05-16 11:55:00,49120.83,2021-05-16 22:40:00,46663.83,49128.99,
short,2021-05-17 00:15:00,46567.68,2021-05-17 08:50:00,43578.06,46109.27,
short,2021-05-17 11:50:00,44796.98,2021-05-17 22:40:00,42311.97,44579.56,
short,2021-05-18 09:45:00,45055.13,2021-05-18 20:05:00,42668.33,45062.28,
short,2021-05-19 00:15:00,42563.33,2021-05-19 08:30:00,40239.04,42371.96,
short,2021-05-19 08:50:00,40869.34,2021-05-19 16:55:00,38128.79,40400.28,
short,2021-05-19 17:15:00,38011.35,2021-05-19 18:15:00,35512.32,37415.1,
short,2021-05-19 18:35:00,30101.0,2021-05-19 18:35:00,30101.0,32488.89,
short,2021-05-20 00:15:00,37870.29,2021-05-20 06:10:00,35521.67,37600.0,
short,2021-05-20 18:00:00,41594.69,2021-05-20 22:05:00,38973.18,41113.63,
short,2021-05-21 00:15:00,39966.47,2021-05-21 20:05:00,36683.49,39678.0,
short,2021-05-22 00:15:00,37164.49,2021-05-22 02:35:00,34623.51,36791.44,
short,2021-05-22 06:30:00,37456.9,2021-05-22 10:55:00,35411.78,37450.64,
short,2021-05-23 00:15:00,37550.0,2021-05-23 13:40:00,35076.86,37300.0,
short,2021-05-23 14:00:00,34929.74,2021-05-23 18:30:00,33320.16,35078.85,
short,2021-05-23 18:50:00,33201.62,2021-05-23 22:00:00,31548.04,33333.4,
short,2021-05-25 01:25:00,39606.1,2021-05-25 16:00:00,36892.45,38900.69,
short,2021-05-26 12:10:00,40702.02,2021-05-26 22:35:00,38177.16,40250.05,
short,2021-05-28 00:15:00,39120.02,2021-05-28 11:15:00,36830.46,38949.37,
short,2021-05-29 00:15:00,36012.94,2021-05-29 18:55:00,34271.6,36143.97,
short,2021-05-31 00:15:00,36110.55,2021-05-31 09:40:00,34300.42,36110.36,
short,2021-06-01 06:35:00,37703.39,2021-06-01 18:35:00,35806.92,37694.72,
short,2021-06-04 00:15:00,38614.96,2021-06-04 12:15:00,36586.93,38540.92,
